,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
497,-5.15,1123.2349165596759,1135.236945896159,1162.883952201443,1346.687864481574,982.7122859090952,903.5798232146888,3504.9552816049777,3266.074130158853
498,-5.1,1464.7457763152406,1138.250376535859,1263.791374122349,1347.0831543006389,1285.7602057216145,905.9609421862611,3526.3773022205596,3266.0741301588487
499,-5.05,1203.465982028224,1141.2510266330437,1384.4857337774192,1347.4784441197087,942.0725596311752,908.3322351423327,3383.8221076377213,3266.074130158849
500,-5.0,1122.6944667201124,1144.2388961877411,1243.2822651800577,1347.8737339387847,861.7579862920235,910.6937020829013,3201.38525349329,3266.074130158854
501,-4.95,1424.0442857715711,1147.2139851999227,1203.272902294223,1348.2690237578486,1304.4350792694977,913.0453430079738,3263.2342277011862,3266.0741301588473
502,-4.9,1263.1832217187132,1150.1762936696114,1788.3695695856352,1348.6643135769182,881.834215167536,915.3871579175401,3140.0966183574433,3266.0741301588496
503,-4.85,1263.3858741426845,1153.1258215967898,1263.3858741426845,1349.0596033959894,841.4135748056616,917.7191468116126,3120.3446470990416,3266.0741301588555
504,-4.8,1283.4910957805046,1156.0625689814713,1545.2538631346356,1349.4548932150617,941.9215199005838,920.0413096901791,3425.4856129603763,3266.074130158851
505,-4.75,1263.3858741426845,1158.986535823651,1606.425702811222,1349.8501830341258,982.2395060738345,922.3536465532461,3810.637525706627,3266.0741301588487
506,-4.7,1484.8703748294192,1161.8977221233283,1142.9717264888548,1350.2454728531986,1022.2489476848922,924.6561574008118,3445.2190031026626,3266.074130158851
507,-4.65,1565.384924139016,1164.7961278805014,1363.7092892667863,1350.6407626722669,1223.7692091642084,926.948842232878,3221.6494845360367,3266.0741301588514
508,-4.6,1102.4253357386092,1167.6817530951748,1102.7790030877654,1351.0360524913385,902.2013713460716,929.2317010494424,3647.57567208088,3266.074130158851
509,-4.55,1002.3253949161913,1170.554597767342,1264.400112391103,1351.4313423104065,902.0566892514806,931.5047338505049,3161.880211060494,3266.0741301588496
510,-4.5,1405.0582095543757,1173.4146618970076,1263.3858741426845,1351.8266321294757,1022.4128944308422,933.7679406360675,3364.6290849014304,3266.074130158852
511,-4.45,1323.9187996469361,1176.2619454841747,1625.787804584297,1352.2219219485473,781.7197835237411,936.0213214061325,3121.8529707955245,3266.074130158847
512,-4.4,1243.082845456715,1179.0964485288382,1123.2349165596759,1352.6172117676126,1264.1971344864771,938.264876160693,3140.0966183574433,3266.074130158854
513,-4.35,1183.170898006641,1181.9181710309945,1202.8869286286917,1353.0125015866845,1083.032490974714,940.4986048997517,3383.276945384195,3266.0741301588487
514,-4.3,1203.465982028224,1184.7271129906574,1042.6692332370721,1353.4077914057557,1042.6692332370721,942.7225076233159,3444.108761329256,3266.074130158852
515,-4.25,1363.9281129653207,1187.5232744078112,1384.4857337774192,1353.8030812248264,922.2872724356272,944.9365843313738,2657.4327588983356,3266.074130158849
516,-4.2,1082.685058946171,1190.3066552824662,1384.2635316775472,1354.1983710438933,922.139363322896,947.14083502393,3060.0740860041437,3266.074130158853
517,-4.15,1344.0320962888475,1193.0772556146176,1243.681296638031,1354.5936608629631,1102.7790030877654,949.3352597009907,3303.787268331943,3266.074130158851
518,-4.1,1424.7301039450774,1195.8350754042651,1363.9281129653207,1354.9889506820352,1243.681296638031,951.519858362546,3647.57567208088,3266.0741301588487
519,-4.05,1363.9281129653207,1198.5801146514139,1626.5713482468943,1355.3842405011023,1082.8587470923082,953.6946310086046,3201.9010028595135,3266.0741301588505
520,-4.0,1223.1802686985989,1201.3123733560583,1445.318773084932,1355.7795303201715,962.3095429029535,955.8595776391574,2980.0257731958336,3266.074130158852
521,-3.95,1263.3858741426845,1204.031851518201,1484.8703748294192,1356.1748201392431,1042.6692332370721,958.0146982542125,3343.8079123357834,3266.074130158851
522,-3.9,1202.8869286286917,1206.7385491378418,1464.2756850001797,1356.570109958313,1143.705606163955,960.1599928537674,3385.4586490407382,3266.0741301588487
523,-3.85,1222.9840811580082,1209.4324662149786,1464.9809351795898,1356.9653997773796,1103.1328974286819,962.2954614378197,3425.4856129603763,3266.074130158853
